param n :=	100	;			
param range :=	4	;			
param Vc :=	1	;			
param Fc :=	100	;			
param capacity :=	10	;

param:	Cx	Cy	Dc	usable	:=
1	9	22	4	1	
2	22	5	4	1	
3	8	17	8	1	
4	2	22	5	1	
5	20	29	6	1	
6	2	24	1	1	
7	25	15	10	0	
8	20	24	9	1	
9	15	2	7	1	
10	4	18	2	1	
11	29	47	4	0	
12	34	25	2	0	
13	27	39	2	1	
14	46	33	3	1	
15	33	29	5	1	
16	28	46	4	1	
17	44	28	3	1	
18	33	32	10	1	
19	35	23	4	1	
20	40	39	4	1	
21	19	40	1	1	
22	23	17	6	1	
23	30	24	4	1	
24	33	29	4	1	
25	27	9	7	1	
26	21	9	2	1	
27	27	10	4	1	
28	22	38	4	1	
29	3	18	7	1	
30	6	4	10	0	
31	35	17	8	1	
32	10	19	7	0	
33	7	2	8	1	
34	37	22	6	1	
35	16	29	4	1	
36	40	25	10	1	
37	6	34	2	1	
38	18	19	8	1	
39	25	32	3	0	
40	17	5	4	1	
41	19	12	4	0	
42	15	7	1	1	
43	31	19	2	1	
44	28	39	8	1	
45	37	6	2	1	
46	26	15	7	1	
47	22	39	3	1	
48	17	2	5	1	
49	9	2	1	0	
50	13	12	3	1	
51	39	36	10	1	
52	35	36	3	1	
53	3	32	10	1	
54	17	40	7	1	
55	25	16	1	1	
56	20	4	3	1	
57	22	35	7	1	
58	27	21	8	1	
59	9	30	1	1	
60	9	38	4	1	
61	15	26	1	1	
62	26	18	8	1	
63	19	18	9	1	
64	31	3	10	1	
65	39	25	3	0	
66	36	7	3	1	
67	21	38	10	1	
68	2	3	9	1	
69	9	18	1	1	
70	6	35	7	1	
71	17	24	8	0	
72	23	11	8	0	
73	9	7	2	1	
74	10	6	4	1	
75	39	12	3	1	
76	39	16	5	1	
77	31	34	2	0	
78	14	15	10	1	
79	10	30	9	0	
80	18	38	2	0	
81	8	18	5	1	
82	35	37	1	1	
83	10	31	6	1	
84	27	34	3	1	
85	38	1	7	1	
86	13	29	6	1	
87	2	11	7	1	
88	4	2	9	0	
89	31	25	2	0	
90	13	34	9	1	
91	22	4	5	1	
92	23	30	4	0	
93	33	39	6	0	
94	22	40	8	1	
95	26	37	2	1	
96	6	2	4	1	
97	14	37	3	1	
98	5	19	6	1	
99	20	9	2	1	
100	36	5	10	1	
					;
